contract,field,ground_truth,model_output,model,method,reasoning,judgment
01_service_gpaq.pdf,parties,"HOFV and/or PFHOF, on the one hand, and Constellation, on the other hand, are referred to herein as a ""Party"" and, collectively, as the ""Parties"".
(""PFHOF"" and, together with HOFV, the ""HOF Entities""
on behalf of itself and its retail affiliates and subsidiaries (collectively, ""Constellation"")
HOF Village, LLC
Constellation NewEnergy, Inc.
HOFV
National Football Museum, Inc., d/b/a Pro Football Hall of Fame","HOF Village, LLC
National Football Museum, Inc.
Constellation NewEnergy, Inc.",sonnet,llm_judge,"The model correctly identifies the legal entity names: 'HOF Village, LLC', 'National Football Museum, Inc.', and 'Constellation NewEnergy, Inc.' It omits aliases and role descriptions, which is correct based on the instructions.",MATCH
01_service_gpaq.pdf,contract_type,Service Agreement,Sponsorship Agreement,sonnet,exact_match,Exact match: 'Service Agreement' vs 'Sponsorship Agreement',NO_MATCH
01_service_gpaq.pdf,notice_period,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
01_service_gpaq.pdf,expiration_date,"The term of this Agreement (the ""Term""), unless mutually extended by written agreement of the Parties or unless sooner terminated as provided herein, shall commence effective as of the date hereof and shall expire on December 31, 2028.",2028-12-31,sonnet,llm_judge,"The model output '2028-12-31' accurately represents the expiration date of 'December 31, 2028' as stated in the ground truth.",MATCH
01_service_gpaq.pdf,renewal_term,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
01_service_gpaq.pdf,parties,"HOFV and/or PFHOF, on the one hand, and Constellation, on the other hand, are referred to herein as a ""Party"" and, collectively, as the ""Parties"".
(""PFHOF"" and, together with HOFV, the ""HOF Entities""
on behalf of itself and its retail affiliates and subsidiaries (collectively, ""Constellation"")
HOF Village, LLC
Constellation NewEnergy, Inc.
HOFV
National Football Museum, Inc., d/b/a Pro Football Hall of Fame","HOF Village, LLC
National Football Museum, Inc. d/b/a Pro Football Hall of Fame
Constellation NewEnergy, Inc.",gpt-5,llm_judge,"The model output correctly extracts the legal entity names 'HOF Village, LLC', 'National Football Museum, Inc. d/b/a Pro Football Hall of Fame', and 'Constellation NewEnergy, Inc.' from the provided text, which aligns with the ground truth. It omits the shorthand aliases and role labels as instructed.",MATCH
01_service_gpaq.pdf,contract_type,Service Agreement,Sponsorship Agreement,gpt-5,exact_match,Exact match: 'Service Agreement' vs 'Sponsorship Agreement',NO_MATCH
01_service_gpaq.pdf,notice_period,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
01_service_gpaq.pdf,expiration_date,"The term of this Agreement (the ""Term""), unless mutually extended by written agreement of the Parties or unless sooner terminated as provided herein, shall commence effective as of the date hereof and shall expire on December 31, 2028.",2028-12-31,gpt-5,llm_judge,"The model output '2028-12-31' is equivalent to the ground truth's expiration date of 'December 31, 2028'.",MATCH
01_service_gpaq.pdf,renewal_term,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
